time	V(a1)	V(b1)	V(cin)	V(cout)	V(s)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.219405e-008	4.407206e-008
5.000000000000000e-003	0.000000e+000	0.000000e+000	0.000000e+000	2.219405e-008	4.407206e-008
5.002180913591953e-003	0.000000e+000	0.000000e+000	2.180914e-002	2.219405e-008	2.180896e-002
5.006542740775859e-003	0.000000e+000	0.000000e+000	6.542741e-002	2.219405e-008	6.542712e-002
5.015266395143672e-003	0.000000e+000	0.000000e+000	1.526639e-001	2.219405e-008	1.526637e-001
5.032713703879298e-003	0.000000e+000	0.000000e+000	3.271371e-001	2.219405e-008	3.271367e-001
5.067608321350550e-003	0.000000e+000	0.000000e+000	6.760832e-001	2.219405e-008	6.760828e-001
5.106670821350550e-003	0.000000e+000	0.000000e+000	1.066708e+000	2.219405e-008	1.066708e+000
5.145733321350550e-003	0.000000e+000	0.000000e+000	1.457333e+000	2.219405e-008	1.457332e+000
5.184795821350550e-003	0.000000e+000	0.000000e+000	1.847958e+000	2.219405e-008	1.847957e+000
5.262920821350550e-003	0.000000e+000	0.000000e+000	2.629208e+000	2.219405e-008	2.629207e+000
5.380108321350550e-003	0.000000e+000	0.000000e+000	3.801083e+000	2.219405e-008	3.801081e+000
5.500477454724154e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.219405e-008	5.000000e+000
1.000000000000000e-002	0.000000e+000	0.000000e+000	5.000000e+000	2.219405e-008	5.000000e+000
1.000390625000000e-002	0.000000e+000	1.953125e-002	5.000000e+000	2.219405e-008	5.000000e+000
1.001171875000000e-002	0.000000e+000	5.859375e-002	5.000000e+000	2.219405e-008	5.000000e+000
1.002734375000000e-002	0.000000e+000	1.367188e-001	5.000000e+000	2.219405e-008	5.000000e+000
1.005859375000000e-002	0.000000e+000	2.929688e-001	5.000000e+000	2.219405e-008	5.000000e+000
1.009765625000000e-002	0.000000e+000	4.882813e-001	5.000000e+000	2.219405e-008	5.000000e+000
1.013671875000000e-002	0.000000e+000	6.835938e-001	5.000000e+000	2.219405e-008	5.000000e+000
1.017578125000000e-002	0.000000e+000	8.789063e-001	5.000000e+000	2.219405e-008	5.000000e+000
1.021484375000000e-002	0.000000e+000	1.074219e+000	5.000000e+000	2.219405e-008	5.000000e+000
1.025390625000000e-002	0.000000e+000	1.269531e+000	5.000000e+000	2.219405e-008	5.000000e+000
1.029296874999999e-002	0.000000e+000	1.464844e+000	5.000000e+000	2.219406e-008	5.000000e+000
1.033203124999999e-002	0.000000e+000	1.660156e+000	5.000000e+000	2.219416e-008	4.999731e+000
1.036146725505808e-002	0.000000e+000	1.807336e+000	5.000000e+000	2.219577e-008	4.998471e+000
1.036235173507479e-002	0.000000e+000	1.811759e+000	5.000000e+000	2.219573e-008	4.997395e+000
1.036412069510820e-002	0.000000e+000	1.820603e+000	5.000000e+000	2.219557e-008	4.991314e+000
1.036765861517503e-002	0.000000e+000	1.838293e+000	5.000000e+000	2.219764e-008	4.972058e+000
1.037089782888098e-002	0.000000e+000	1.854489e+000	5.000000e+000	2.221207e-008	4.948923e+000
1.037277644079730e-002	0.000000e+000	1.863882e+000	5.000000e+000	2.229546e-008	4.933142e+000
1.037407295099387e-002	0.000000e+000	1.870365e+000	5.000000e+000	2.243900e-008	4.921244e+000
1.037539043429602e-002	0.000000e+000	1.876952e+000	5.000000e+000	2.273296e-008	4.908607e+000
1.037555531796201e-002	0.000000e+000	1.877777e+000	5.000000e+000	2.291324e-008	4.906983e+000
1.037588508529399e-002	0.000000e+000	1.879425e+000	5.000000e+000	2.118701e-008	4.903681e+000
1.037614726249375e-002	0.000000e+000	1.880736e+000	5.000000e+000	1.212829e-008	4.901038e+000
1.037621280679369e-002	0.000000e+000	1.881064e+000	5.000000e+000	-1.345845e-008	4.900374e+000
1.037634389539357e-002	0.000000e+000	1.881719e+000	5.000000e+000	-2.781491e-007	4.899039e+000
1.037641052331155e-002	0.000000e+000	1.882053e+000	5.000000e+000	-1.337327e-006	4.898359e+000
1.037651768919267e-002	0.000000e+000	1.882588e+000	5.000000e+000	-1.152602e-005	4.897262e+000
1.037655932515895e-002	0.000000e+000	1.882797e+000	5.000000e+000	-4.598816e-005	4.896835e+000
1.037658578511419e-002	0.000000e+000	1.882929e+000	5.000000e+000	-1.754816e-004	4.896564e+000
1.037659948289515e-002	0.000000e+000	1.882997e+000	5.000000e+000	-4.261522e-004	4.896423e+000
1.037661145517599e-002	0.000000e+000	1.883057e+000	5.000000e+000	-8.655072e-004	4.896300e+000
1.037661754055093e-002	0.000000e+000	1.883088e+000	5.000000e+000	-1.082214e-003	4.896237e+000
1.037662195041549e-002	0.000000e+000	1.883110e+000	5.000000e+000	-6.763873e-004	4.896192e+000
1.037662648303284e-002	0.000000e+000	1.883132e+000	5.000000e+000	2.019494e-003	4.896145e+000
1.037663125964433e-002	0.000000e+000	1.883156e+000	5.000000e+000	1.490114e-002	4.896096e+000
1.037663988946789e-002	0.000000e+000	1.883199e+000	5.000000e+000	6.212485e-002	4.896008e+000
