time	V(a)	V(b)	V(cin)	V(cout)	V(s0)	V(s1)	V(s2)	V(s3)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	2.219405e-008	4.407206e-008	1.322860e-007	1.322860e-007	1.322860e-007
5.000000000000000e-003	0.000000e+000	0.000000e+000	0.000000e+000	2.219405e-008	4.407206e-008	1.322860e-007	1.322860e-007	1.322860e-007
5.002180913591953e-003	0.000000e+000	0.000000e+000	2.180914e-002	2.219405e-008	2.180896e-002	1.322860e-007	1.322860e-007	1.322860e-007
5.006542740775859e-003	0.000000e+000	0.000000e+000	6.542741e-002	2.219405e-008	6.542712e-002	1.322860e-007	1.322860e-007	1.322860e-007
5.015266395143672e-003	0.000000e+000	0.000000e+000	1.526639e-001	2.219405e-008	1.526637e-001	1.322860e-007	1.322860e-007	1.322860e-007
5.032713703879298e-003	0.000000e+000	0.000000e+000	3.271371e-001	2.219405e-008	3.271367e-001	1.322860e-007	1.322860e-007	1.322860e-007
5.067608321350550e-003	0.000000e+000	0.000000e+000	6.760832e-001	2.219405e-008	6.760828e-001	1.322860e-007	1.322860e-007	1.322860e-007
5.106670821350550e-003	0.000000e+000	0.000000e+000	1.066708e+000	2.219405e-008	1.066708e+000	1.322860e-007	1.322860e-007	1.322860e-007
5.145733321350550e-003	0.000000e+000	0.000000e+000	1.457333e+000	2.219405e-008	1.457332e+000	1.322860e-007	1.322860e-007	1.322860e-007
5.184795821350550e-003	0.000000e+000	0.000000e+000	1.847958e+000	2.219405e-008	1.847957e+000	1.322860e-007	1.322860e-007	1.322860e-007
5.262920821350550e-003	0.000000e+000	0.000000e+000	2.629208e+000	2.219405e-008	2.629207e+000	1.322860e-007	1.322860e-007	1.322860e-007
5.380108321350550e-003	0.000000e+000	0.000000e+000	3.801083e+000	2.219405e-008	3.801081e+000	1.322860e-007	1.322860e-007	1.322860e-007
5.500477454724154e-003	0.000000e+000	0.000000e+000	5.000000e+000	2.219405e-008	5.000000e+000	1.322860e-007	1.322860e-007	1.322860e-007
