time	V(ax)	V(bx)	V(outx)
0.000000000000000e+000	0.000000e+000	0.000000e+000	4.407206e-008
1.000000000000000e-002	0.000000e+000	0.000000e+000	4.407206e-008
1.200390625000000e-002	0.000000e+000	5.000000e+000	5.000000e+000
2.000000000000000e-002	0.000000e+000	5.000000e+000	5.000000e+000
2.015078125000105e-002	3.769531e-001	5.000000e+000	5.000000e+000
2.018984375000105e-002	4.746094e-001	5.000000e+000	5.000000e+000
2.022890625000105e-002	5.722656e-001	5.000000e+000	5.000000e+000
2.026796875000105e-002	6.699219e-001	5.000000e+000	5.000000e+000
2.030703125000105e-002	7.675781e-001	5.000000e+000	5.000000e+000
2.034609375000105e-002	8.652344e-001	5.000000e+000	5.000000e+000
2.038515625000105e-002	9.628906e-001	5.000000e+000	5.000000e+000
2.042421875000105e-002	1.060547e+000	5.000000e+000	5.000000e+000
2.046328125000105e-002	1.158203e+000	5.000000e+000	5.000000e+000
2.050234375000105e-002	1.255859e+000	5.000000e+000	5.000000e+000
2.054140625000105e-002	1.353516e+000	5.000000e+000	5.000000e+000
2.058046875000105e-002	1.451172e+000	5.000000e+000	5.000000e+000
2.061953125000104e-002	1.548828e+000	5.000000e+000	5.000000e+000
2.065859375000104e-002	1.646484e+000	5.000000e+000	5.000000e+000
2.069765625000104e-002	1.744141e+000	5.000000e+000	4.992270e+000
2.073671875000104e-002	1.841797e+000	5.000000e+000	4.925444e+000
2.077578125000104e-002	1.939453e+000	5.000000e+000	4.739670e+000
2.081484375000104e-002	2.037109e+000	5.000000e+000	4.421854e+000
2.085390625000104e-002	2.134766e+000	5.000000e+000	3.879763e+000
2.087530047974929e-002	2.188251e+000	5.000000e+000	3.368426e+000
2.087593342123936e-002	2.189834e+000	5.000000e+000	3.296059e+000
2.087677734322612e-002	2.191943e+000	5.000000e+000	3.157415e+000
2.087809420112563e-002	2.195235e+000	5.000000e+000	2.895298e+000
2.087923571766890e-002	2.198089e+000	5.000000e+000	2.658444e+000
2.088061642198751e-002	2.201541e+000	5.000000e+000	2.378698e+000
2.088240371259657e-002	2.206009e+000	5.000000e+000	2.033672e+000
2.088525754331495e-002	2.213144e+000	5.000000e+000	1.554004e+000
2.088760874898622e-002	2.219022e+000	5.000000e+000	1.290216e+000
2.089026690712950e-002	2.225667e+000	5.000000e+000	1.149024e+000
2.089241443107828e-002	2.231036e+000	5.000000e+000	1.094907e+000
2.089512182336747e-002	2.237805e+000	5.000000e+000	1.051246e+000
2.090035183213111e-002	2.250880e+000	5.000000e+000	9.895600e-001
2.090911049378300e-002	2.272776e+000	5.000000e+000	9.131591e-001
2.092256165875011e-002	2.306404e+000	5.000000e+000	8.270988e-001
2.094341468228308e-002	2.358537e+000	5.000000e+000	7.293531e-001
2.097570459251219e-002	2.439261e+000	5.000000e+000	6.171971e-001
2.101476709251219e-002	2.536918e+000	5.000000e+000	5.138724e-001
2.105382959251219e-002	2.634574e+000	5.000000e+000	4.326074e-001
2.109289209251219e-002	2.732230e+000	5.000000e+000	3.662261e-001
2.113195459251219e-002	2.829886e+000	5.000000e+000	3.102856e-001
2.117101709251219e-002	2.927543e+000	5.000000e+000	2.622910e-001
2.121007959251219e-002	3.025199e+000	5.000000e+000	2.206249e-001
2.124914209251218e-002	3.122855e+000	5.000000e+000	1.841797e-001
2.128820459251218e-002	3.220511e+000	5.000000e+000	1.521987e-001
2.132726709251218e-002	3.318168e+000	5.000000e+000	1.241309e-001
