time	V(a)	V(b)	V(c)
0.000000000000000e+000	0.000000e+000	0.000000e+000	2.219405e-008
1.000000000000000e-002	0.000000e+000	0.000000e+000	2.219405e-008
1.000390625000000e-002	0.000000e+000	9.765625e-003	2.219456e-008
1.001171875000000e-002	0.000000e+000	2.929688e-002	2.219405e-008
1.002734375000000e-002	0.000000e+000	6.835938e-002	2.219405e-008
1.005859375000000e-002	0.000000e+000	1.464844e-001	2.219405e-008
1.009765625000000e-002	0.000000e+000	2.441406e-001	2.219405e-008
1.013671875000000e-002	0.000000e+000	3.417969e-001	2.219405e-008
1.017578125000000e-002	0.000000e+000	4.394531e-001	2.219405e-008
1.025390625000000e-002	0.000000e+000	6.347656e-001	2.219405e-008
1.200390625000000e-002	0.000000e+000	5.000000e+000	2.219354e-008
2.000000000000000e-002	0.000000e+000	5.000000e+000	2.219398e-008
2.015078125000105e-002	3.769531e-001	5.000000e+000	2.217089e-008
2.018984375000105e-002	4.746094e-001	5.000000e+000	2.194636e-008
2.022890625000105e-002	5.722656e-001	5.000000e+000	2.050870e-008
2.026796875000105e-002	6.699219e-001	5.000000e+000	1.631831e-008
2.030703125000105e-002	7.675781e-001	5.000000e+000	9.454940e-009
2.034609375000105e-002	8.652344e-001	5.000000e+000	1.340941e-009
2.038515625000105e-002	9.628906e-001	5.000000e+000	-7.208457e-009
2.042421875000105e-002	1.060547e+000	5.000000e+000	-1.602983e-008
2.046328125000105e-002	1.158203e+000	5.000000e+000	-2.514066e-008
2.050234375000105e-002	1.255859e+000	5.000000e+000	-3.381051e-008
2.054140625000105e-002	1.353516e+000	5.000000e+000	-3.180779e-008
2.058046875000105e-002	1.451172e+000	5.000000e+000	1.881874e-007
2.061953125000104e-002	1.548828e+000	5.000000e+000	7.893091e-006
2.065859375000104e-002	1.646484e+000	5.000000e+000	1.746029e-004
2.069765625000104e-002	1.744141e+000	5.000000e+000	1.342691e-003
2.073671875000104e-002	1.841797e+000	5.000000e+000	6.474227e-003
2.077578125000104e-002	1.939453e+000	5.000000e+000	1.765824e-002
2.077889792690562e-002	1.947245e+000	5.000000e+000	1.950880e-002
2.078513128071478e-002	1.962828e+000	5.000000e+000	2.625626e-002
2.079540348558202e-002	1.988509e+000	5.000000e+000	4.606676e-002
2.080049838453251e-002	2.001246e+000	5.000000e+000	7.733262e-002
2.080403625920498e-002	2.010091e+000	5.000000e+000	1.660310e-001
2.080781924631991e-002	2.019548e+000	5.000000e+000	3.688214e-001
2.080809061711601e-002	2.020226e+000	5.000000e+000	4.015946e-001
2.080863335870820e-002	2.021583e+000	5.000000e+000	5.126491e-001
2.080891503701938e-002	2.022288e+000	5.000000e+000	5.933238e-001
2.080898545659717e-002	2.022464e+000	5.000000e+000	6.246620e-001
2.080912629575276e-002	2.022816e+000	5.000000e+000	7.640382e-001
2.080925480174899e-002	2.023137e+000	5.000000e+000	1.140445e+000
2.080928692824805e-002	2.023217e+000	5.000000e+000	1.429830e+000
2.080936097225164e-002	2.023402e+000	5.000000e+000	2.445781e+000
2.080938055426260e-002	2.023451e+000	5.000000e+000	2.668467e+000
2.080941971828453e-002	2.023549e+000	5.000000e+000	2.958565e+000
2.080947624170607e-002	2.023691e+000	5.000000e+000	3.186735e+000
2.080955790012062e-002	2.023895e+000	5.000000e+000	3.371740e+000
2.080966656621149e-002	2.024166e+000	5.000000e+000	3.530397e+000
2.080987914470864e-002	2.024698e+000	5.000000e+000	3.738482e+000
2.081019769745410e-002	2.025494e+000	5.000000e+000	3.960846e+000
2.081054883218585e-002	2.026372e+000	5.000000e+000	4.139922e+000
2.081112124841358e-002	2.027803e+000	5.000000e+000	4.351350e+000
2.081202269694832e-002	2.030057e+000	5.000000e+000	4.581211e+000
2.081336853518890e-002	2.033421e+000	5.000000e+000	4.796469e+000
2.081450940279904e-002	2.036273e+000	5.000000e+000	4.890334e+000
2.081605131233336e-002	2.040128e+000	5.000000e+000	4.938770e+000
2.081714726563421e-002	2.042868e+000	5.000000e+000	4.952863e+000
2.081851036210871e-002	2.046276e+000	5.000000e+000	4.961795e+000
2.082048925531939e-002	2.051223e+000	5.000000e+000	4.970007e+000
2.082420793539960e-002	2.060520e+000	5.000000e+000	4.979594e+000
2.082878886927879e-002	2.071972e+000	5.000000e+000	4.986583e+000
2.083648227035320e-002	2.091206e+000	5.000000e+000	4.992731e+000
2.084719735642949e-002	2.117993e+000	5.000000e+000	4.996643e+000
2.086613552620966e-002	2.165339e+000	5.000000e+000	4.998943e+000
2.089569689230599e-002	2.239242e+000	5.000000e+000	4.999804e+000
2.093475939230599e-002	2.336899e+000	5.000000e+000	4.999975e+000
2.097382189230599e-002	2.434555e+000	5.000000e+000	4.999996e+000
2.101288439230599e-002	2.532211e+000	5.000000e+000	4.999999e+000
2.105194689230599e-002	2.629867e+000	5.000000e+000	5.000000e+000
2.109100939230598e-002	2.727524e+000	5.000000e+000	5.000000e+000
2.113007189230598e-002	2.825180e+000	5.000000e+000	5.000000e+000
2.116913439230598e-002	2.922836e+000	5.000000e+000	5.000000e+000
2.120819689230598e-002	3.020492e+000	5.000000e+000	5.000000e+000
2.124725939230598e-002	3.118149e+000	5.000000e+000	5.000000e+000
2.128632189230598e-002	3.215805e+000	5.000000e+000	5.000000e+000
2.132538439230598e-002	3.313461e+000	5.000000e+000	5.000000e+000
2.136444689230598e-002	3.411117e+000	5.000000e+000	5.000000e+000
2.140350939230598e-002	3.508774e+000	5.000000e+000	5.000000e+000
2.144257189230598e-002	3.606430e+000	5.000000e+000	5.000000e+000
2.148163439230598e-002	3.704086e+000	5.000000e+000	5.000000e+000
2.152069689230598e-002	3.801742e+000	5.000000e+000	5.000000e+000
2.155975939230597e-002	3.899399e+000	5.000000e+000	5.000000e+000
2.159882189230597e-002	3.997055e+000	5.000000e+000	5.000000e+000
2.163788439230597e-002	4.094711e+000	5.000000e+000	5.000000e+000
2.167694689230597e-002	4.192367e+000	5.000000e+000	5.000000e+000
2.171600939230597e-002	4.290023e+000	5.000000e+000	5.000000e+000
2.175507189230597e-002	4.387680e+000	5.000000e+000	5.000000e+000
2.179413439230597e-002	4.485336e+000	5.000000e+000	5.000000e+000
2.187225939230597e-002	4.680648e+000	5.000000e+000	5.000000e+000
2.189050805054797e-002	4.726270e+000	5.000000e+000	5.000005e+000
2.190875670878998e-002	4.771892e+000	5.000000e+000	5.000007e+000
2.192700536703198e-002	4.817514e+000	5.000000e+000	5.000006e+000
2.194525402527399e-002	4.863135e+000	5.000000e+000	5.000003e+000
2.196350268351599e-002	4.908757e+000	5.000000e+000	4.999997e+000
2.198175134175799e-002	4.954378e+000	5.000000e+000	4.999989e+000
2.200000000000000e-002	5.000000e+000	5.000000e+000	4.999979e+000
2.201477435077165e-002	5.000000e+000	5.000000e+000	5.000000e+000
3.200253914645944e-002	5.000000e+000	4.993652e+000	5.000000e+000
3.219433719689158e-002	5.000000e+000	4.514157e+000	5.000000e+000
3.223339969689158e-002	5.000000e+000	4.416501e+000	5.000000e+000
3.227246219689158e-002	5.000000e+000	4.318844e+000	5.000000e+000
3.231152469689158e-002	5.000000e+000	4.221188e+000	5.000000e+000
3.235058719689158e-002	5.000000e+000	4.123532e+000	5.000000e+000
3.238964969689158e-002	5.000000e+000	4.025876e+000	5.000000e+000
3.242871219689158e-002	5.000000e+000	3.928220e+000	5.000000e+000
3.246777469689158e-002	5.000000e+000	3.830563e+000	5.000000e+000
3.250683719689158e-002	5.000000e+000	3.732907e+000	5.000000e+000
3.254589969689158e-002	5.000000e+000	3.635251e+000	5.000000e+000
3.258496219689158e-002	5.000000e+000	3.537595e+000	5.000000e+000
3.262402469689157e-002	5.000000e+000	3.439938e+000	5.000000e+000
